regiao_codigo,regiao_nome,ano,bimestre,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio,bf_valor_total,bf_beneficiarios,bpc_valor_total,bpc_beneficiarios,transf_fed_fpm_dest,transf_fed_fundeb_dest,transf_fed_itr_dest,transf_fed_outros_dest,transf_fed_royalties_dest,transf_fed_total,transf_est_icms,transf_est_ipva,transf_est_total,invest_mun_valor,bnb_bnb_operacoes_credito_total,bnb_bnb_emprestimos_titulos_descontados,bnb_bnb_financiamentos,bnb_bnb_financiamentos_rurais_agricultura,bnb_bnb_financiamentos_agroindustriais,bnb_bnb_financiamentos_imobiliarios,bnb_credito_bnb_total,pop,siof_anual_empenhado,siof_anual_pago,siof_anual_dotacao,siof_anual_n_acoes,invest_fed_direto_ce,invest_fed_ne_rateado,invest_fed_nacional_rateado,invest_fed_total,ibcr_ce,invest_total_ce_r_2010_mi,share_pib_ce_br,deflator,salario_medio_real,bf_valor_total_real,bpc_valor_total_real,transf_fed_fpm_dest_real,transf_fed_fundeb_dest_real,transf_fed_itr_dest_real,transf_fed_outros_dest_real,transf_fed_royalties_dest_real,transf_fed_total_real,transf_est_icms_real,transf_est_ipva_real,transf_est_total_real,invest_mun_valor_real,bnb_bnb_operacoes_credito_total_real,bnb_bnb_emprestimos_titulos_descontados_real,bnb_bnb_financiamentos_real,bnb_bnb_financiamentos_rurais_agricultura_real,bnb_bnb_financiamentos_agroindustriais_real,bnb_bnb_financiamentos_imobiliarios_real,bnb_credito_bnb_total_real,siof_anual_empenhado_real,siof_anual_pago_real,siof_anual_dotacao_real,invest_fed_direto_ce_real,invest_fed_ne_rateado_real,invest_fed_nacional_rateado_real,invest_fed_total_real
01,Cariri,2015,1,5294.0,6024.0,-730.0,11318.0,968.5036225481534,49859564.0,145057.0,,,83764590.78999999,122660430.47,9269.58,8990.4,1128046.8599999999,207571328.10000002,7430519.85,2202332.17,9632852.02,13541679.62,186066869.0,136041311.0,24142154.0,4036296.0,0.0,0.0,186066869.0,1004530.0,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,1.7794885417848645,1723.4410990015724,88724522.83638912,,149058129.51810297,218272830.55176407,16495.111397158144,15998.313786062645,2007346.461966395,369370799.9570167,13222524.932579989,3919024.861719196,17141549.794299185,24097263.720311616,331103861.3912854,242083954.13389125,42960686.417005636,7182542.483252081,0.0,0.0,331103861.3912854,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
02,Centro Sul,2015,1,1059.0,1050.0,9.0,2109.0,944.8691322901849,21343225.0,61411.0,,,35627415.32,47501768.78,3944.26,3664.1899999999996,457305.05000000005,83594097.6,6135957.26,3325953.6500000004,9461910.91,7923946.77,54488659.0,41606772.0,5559982.0,740501.0,0.0,0.0,54488659.0,388364.0,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,1.7794885417848645,1681.3837943965914,37980024.33223627,,63398577.33535054,84528853.258524,7018.76547582037,6520.384119922682,813769.0965753546,148754738.84004563,10918865.637051653,5918496.410682548,16837362.0477342,14100572.482928187,96961944.34772274,74038774.03465533,9893924.261530094,1317713.044680234,0.0,0.0,96961944.34772274,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
03,Grande Fortaleza,2015,1,63631.0,69829.0,-6198.0,133460.0,1106.9309680803237,104005001.0,345205.0,,,199392253.57999998,300902851.22,25888.65,24639.53,6064494.58,506410127.56000006,217027821.98000002,97514912.54999998,314542734.53,66831679.05,4544035070.0,703813483.0,896942370.0,13697586.0,176486.0,674927401.0,4544035070.0,3985295.0,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,1.7794885417848645,1969.7709742457637,185075707.56782338,,354816230.5662721,535453175.93638587,46068.55603727874,43845.76130996442,10791698.616826415,901151019.4368317,386198522.4619354,173526669.53587806,559725191.9978133,118926207.09771857,8086058340.533585,1252428028.5521965,1596098670.0563605,24374697.337112773,314054.8147854436,1201025576.6161385,8086058340.533585,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
04,Litoral Leste,2015,1,1207.0,1763.0,-556.0,2970.0,972.8434343434343,9880439.0,29986.0,,,18209567.79,25951985.33,9578.32,1878.6799999999998,1332616.23,45505626.35,8355175.67,1842657.63,10197833.3,2955195.52,38587135.0,24989339.0,2948505.0,1472173.0,521.0,0.0,38587135.0,201531.0,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,1.7794885417848645,1731.1637443647774,17582127.988304306,,32403717.233159736,46181260.53130389,17044.510689548802,3343.0895336803887,2371375.3118815436,80976740.6765684,14867939.369364679,3278988.1390174543,18146927.508382134,5258736.566573964,68665364.59280571,44468242.41727764,5246830.862895382,2619714.985025049,927.1135302699143,0.0,68665364.59280571,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
05,Litoral Norte,2015,1,873.0,678.0,195.0,1551.0,940.4848484848485,23965775.0,63924.0,,,36814996.03,58878521.190000005,1639.29,3741.33,767303.51,96466201.35,7844605.84,2058654.49,9903260.33,14288292.28,37318943.0,29794654.0,7051211.0,214987.0,0.0,0.0,37318943.0,393246.0,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,1.7794885417848645,1673.5820116010623,42646822.00749416,,65511863.60124028,104773653.81484236,2917.0977716625102,6657.6538660359665,1365407.8041163082,171660499.97183663,13959386.207098631,3663352.076448964,17622738.283547595,25425852.393933136,66408631.46002248,53019245.39944458,12547549.180207396,382566.9031327027,0.0,0.0,66408631.46002248,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
06,Litoral Oeste / Vale do Curu,2015,1,1176.0,939.0,237.0,2115.0,910.1569739952719,22540863.0,61568.0,,,33648114.39,56355634.370000005,4906.99,3527.63,1511501.37,91523684.75,7546748.0,1839527.5999999999,9386275.6,17918515.21,65198607.0,52893108.0,7717416.0,1107875.0,0.0,0.0,65198607.0,388064.0,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,1.7794885417848645,1619.6139064501713,40111207.43044241,,59876434.00967141,100284205.6264323,8731.932479652913,6277.377164656542,2689699.368807125,162865348.31455514,13429351.593737843,3273418.2864970113,16702769.880234852,31885792.501992818,116020174.09683445,94122679.62538935,13733053.344187181,1971450.8682299068,0.0,0.0,116020174.09683445,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
07,Maciço do Baturité,2015,1,433.0,446.0,-13.0,879.0,934.783845278726,13504888.0,39278.0,,,28106072.189999998,34896601.33,3386.2200000000003,2620.7799999999997,356436.27,63365116.79,4452400.949999999,1187350.58,5639751.529999999,3536083.57,22539846.0,16718374.0,1356513.0,2878191.0,197242.0,0.0,22539846.0,240159.0,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,1.7794885417848645,1663.4371417190885,24031793.454087917,,50014433.41668323,62098102.21396946,6025.739689962745,4663.647980538936,634274.2583415363,112757499.27666473,7922996.473957044,2112876.7521916134,10035873.226148658,6292420.195608717,40109397.69059541,29750154.97027399,2413899.340282212,5121707.905568321,350989.87895873026,0.0,40109397.69059541,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
08,Serra da Ibiapaba,2015,1,1020.0,752.0,268.0,1772.0,926.7799097065463,21301241.0,56467.0,,,31272953.31,52646022.76,1562.3,3254.08,440864.17000000004,84364656.62,3611932.83,2114870.9699999997,5726803.8,9482747.7,47447103.0,36359796.0,6892546.0,2962931.0,0.0,0.0,47447103.0,352735.0,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,1.7794885417848645,1649.1942300792105,37905314.28529797,,55649862.08291805,93682994.27196518,2780.0949488304936,5790.598074051291,784512.7389984947,150125939.78690463,6427393.084681579,3763388.6584684416,10190781.74315002,16874440.876786776,84431576.12938628,64701840.363635145,12265206.6307251,5272501.764599171,0.0,0.0,84431576.12938628,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
09,Sertão Central,2015,1,755.0,750.0,5.0,1505.0,964.3641196013289,21188863.0,61723.0,,,34835695.019999996,51377401.53,3730.16,3614.5,428697.78,86649138.99000001,8503013.27,2670316.25,11173329.52,14753362.49,46653917.0,32799893.0,5151613.0,1227066.0,469696.0,0.0,46653917.0,389124.0,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,1.7794885417848645,1716.0749009390133,37705338.92194927,,61989720.13320206,91425497.32931517,6637.77697902423,6431.961334281393,762862.7873986086,154191149.98822916,15131014.684609652,4751797.169816928,19882811.854426578,26253439.503753617,83020110.7308821,58367033.765269585,9167236.305209951,2183549.8870137865,835818.6501221837,0.0,83020110.7308821,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
10,Sertão de Canindé,2015,1,437.0,359.0,78.0,796.0,868.3190954773869,13628665.0,34970.0,,,18209567.7,29153306.479999997,1385.3899999999999,1890.8899999999999,242380.31,47608530.769999996,2245859.3200000003,968037.64,3213896.96,1641016.72,40962665.0,32809564.0,3512721.0,184976.0,0.0,0.0,40962665.0,203895.0,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,1.7794885417848645,1545.1638810150077,24252053.20732442,,32403717.073005766,51877974.83630244,2465.285630903333,3364.8170887755823,431312.9843992634,84718834.99642715,3996480.926400748,1722611.8883964617,5719092.814797209,2920170.4501173813,72892593.0084719,58384243.19895718,6250846.769987071,329162.6725051971,0.0,0.0,72892593.0084719,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
